StudentStaffRatios_Charts_SeriesGroup_label,StudentStaffRatios_Charts_SeriesGroup_StudentStaffRatios_Charts_CategoryGroup_label,StudentStaffRatios_Charts_SeriesGroup_StudentStaffRatios_Charts_CategoryGroup_Value_X,StudentStaffRatios_Charts_SeriesGroup_StudentStaffRatios_Charts_CategoryGroup_Value_Y,
MANN ELEM. (5260),2017,2017,10,
MASON ELEM. (5340),2013,2013,12,
MASON ELEM. (5340),2014,2014,12,
MASON ELEM. (5340),2015,2015,11,
MASON ELEM. (5340),2016,2016,13,
MASON ELEM. (5340),2017,2017,10,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,2013,12,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,2014,14,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,2015,15,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2016,2016,14,
MCKINLEY CLASS. LEADERSHIP AC. (1570),2017,2017,14,
MERAMEC ELEM. (5500),2013,2013,14,
MERAMEC ELEM. (5500),2014,2014,12,
MERAMEC ELEM. (5500),2015,2015,12,
MERAMEC ELEM. (5500),2016,2016,10,
MERAMEC ELEM. (5500),2017,2017,10,
METRO HIGH (1560),2013,2013,14,
METRO HIGH (1560),2014,2014,14,
METRO HIGH (1560),2015,2015,14,
METRO HIGH (1560),2016,2016,14,
METRO HIGH (1560),2017,2017,14,
MILLER CAREER ACADEMY (1100),2013,2013,14,
MILLER CAREER ACADEMY (1100),2014,2014,13,
MILLER CAREER ACADEMY (1100),2015,2015,14,
MILLER CAREER ACADEMY (1100),2016,2016,14,
MILLER CAREER ACADEMY (1100),2017,2017,13,
MONROE ELEM. (5560),2013,2013,13,
MONROE ELEM. (5560),2014,2014,12,
MONROE ELEM. (5560),2015,2015,12,
MONROE ELEM. (5560),2016,2016,13,
MONROE ELEM. (5560),2017,2017,11,
MULLANPHY BOTANICAL GARDENS (5590),2013,2013,11,
MULLANPHY BOTANICAL GARDENS (5590),2014,2014,10,
MULLANPHY BOTANICAL GARDENS (5590),2015,2015,9,
MULLANPHY BOTANICAL GARDENS (5590),2016,2016,10,
MULLANPHY BOTANICAL GARDENS (5590),2017,2017,9,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2013,,,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2014,,,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2015,,,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2016,2016,15,
NAHED CHAPMAN NEW AMERICAN ACA (4970),2017,2017,14,
OAK HILL ELEM. (5600),2013,2013,15,
OAK HILL ELEM. (5600),2014,2014,13,
OAK HILL ELEM. (5600),2015,2015,13,
OAK HILL ELEM. (5600),2016,2016,13,
OAK HILL ELEM. (5600),2017,2017,9,
PEABODY ELEM. (5620),2013,2013,11,
PEABODY ELEM. (5620),2014,2014,11,
PEABODY ELEM. (5620),2015,2015,10,
PEABODY ELEM. (5620),2016,2016,9,
PEABODY ELEM. (5620),2017,2017,9,
ROOSEVELT HIGH (1680),2013,2013,16,
ROOSEVELT HIGH (1680),2014,2014,15,
ROOSEVELT HIGH (1680),2015,2015,13,
ROOSEVELT HIGH (1680),2016,2016,13,
ROOSEVELT HIGH (1680),2017,2017,11,
SHAW VISUAL/PERF. ARTS CTR. (5780),2013,2013,14,
SHAW VISUAL/PERF. ARTS CTR. (5780),2014,2014,12,
SHAW VISUAL/PERF. ARTS CTR. (5780),2015,2015,12,
SHAW VISUAL/PERF. ARTS CTR. (5780),2016,2016,15,
SHAW VISUAL/PERF. ARTS CTR. (5780),2017,2017,13,
SHENANDOAH ELEM. (5800),2013,2013,11,
SHENANDOAH ELEM. (5800),2014,2014,11,
SHENANDOAH ELEM. (5800),2015,2015,11,
SHENANDOAH ELEM. (5800),2016,2016,10,
SHENANDOAH ELEM. (5800),2017,2017,10,
SHERMAN ELEM. COMM. ED. CTR. (5840),2013,2013,11,
SHERMAN ELEM. COMM. ED. CTR. (5840),2014,2014,0,
SHERMAN ELEM. COMM. ED. CTR. (5840),2015,,,
SHERMAN ELEM. COMM. ED. CTR. (5840),2016,,,
SHERMAN ELEM. COMM. ED. CTR. (5840),2017,,,
SIGEL ELEM. COMM. ED. CTR. (5860),2013,2013,12,
SIGEL ELEM. COMM. ED. CTR. (5860),2014,2014,14,
SIGEL ELEM. COMM. ED. CTR. (5860),2015,2015,12,
SIGEL ELEM. COMM. ED. CTR. (5860),2016,2016,12,
SIGEL ELEM. COMM. ED. CTR. (5860),2017,2017,12,
SOLDAN INTERNATIONAL STUDIES (1730),2013,2013,13,
SOLDAN INTERNATIONAL STUDIES (1730),2014,2014,15,
SOLDAN INTERNATIONAL STUDIES (1730),2015,2015,16,
SOLDAN INTERNATIONAL STUDIES (1730),2016,2016,16,
SOLDAN INTERNATIONAL STUDIES (1730),2017,2017,14,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2013,2013,0,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2014,2014,0,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2015,2015,0,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2016,2016,18,
ST. LOUIS CHILDREN'S HOSPITAL (6340),2017,2017,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2013,2013,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2014,2014,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2015,2015,0,
STEVENS MIDDLE COMMUNITY ED. (3400),2016,,,
STEVENS MIDDLE COMMUNITY ED. (3400),2017,,,
STIX EARLY CHILDHOOD CTR. (5930),2013,2013,10,
STIX EARLY CHILDHOOD CTR. (5930),2014,2014,10,
STIX EARLY CHILDHOOD CTR. (5930),2015,2015,9,
STIX EARLY CHILDHOOD CTR. (5930),2016,2016,9,
STIX EARLY CHILDHOOD CTR. (5930),2017,2017,8,
SUMNER HIGH (1800),2013,2013,12,
SUMNER HIGH (1800),2014,2014,16,
SUMNER HIGH (1800),2015,2015,12,
SUMNER HIGH (1800),2016,2016,12,
SUMNER HIGH (1800),2017,2017,9,
THE COLLEGE PREPARATORY HIGH (1550),2013,2013,20,
THE COLLEGE PREPARATORY HIGH (1550),2014,2014,16,
THE COLLEGE PREPARATORY HIGH (1550),2015,2015,15,
THE COLLEGE PREPARATORY HIGH (1550),2016,,,
THE COLLEGE PREPARATORY HIGH (1550),2017,,,
TRANSPORTATION AND LAW (1540),2013,2013,10,
TRANSPORTATION AND LAW (1540),2014,2014,12,
TRANSPORTATION AND LAW (1540),2015,2015,12,
TRANSPORTATION AND LAW (1540),2016,2016,13,
TRANSPORTATION AND LAW (1540),2017,2017,11,
VASHON HIGH (1830),2013,2013,12,
VASHON HIGH (1830),2014,2014,12,
VASHON HIGH (1830),2015,2015,13,
VASHON HIGH (1830),2016,2016,15,
VASHON HIGH (1830),2017,2017,11,
VICC (9990),2013,2013,0,
VICC (9990),2014,2014,0,
VICC (9990),2015,2015,0,
VICC (9990),2016,2016,0,
VICC (9990),2017,2017,0,
VO. TECH. TUITION (9995),2013,2013,0,
VO. TECH. TUITION (9995),2014,2014,0,
VO. TECH. TUITION (9995),2015,2015,0,
VO. TECH. TUITION (9995),2016,2016,0,
VO. TECH. TUITION (9995),2017,2017,0,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2013,2013,11,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2014,2014,11,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2015,2015,9,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2016,2016,13,
WALBRIDGE ELEM. COMMUNITY ED. (5960),2017,2017,12,
WASHINGTON MONTESSORI (6010),2013,2013,13,
WASHINGTON MONTESSORI (6010),2014,2014,12,
WASHINGTON MONTESSORI (6010),2015,2015,12,
WASHINGTON MONTESSORI (6010),2016,2016,14,
WASHINGTON MONTESSORI (6010),2017,2017,12,
WILKINSON EARLY CHILDHOOD CTR. (6030),2013,2013,10,
WILKINSON EARLY CHILDHOOD CTR. (6030),2014,2014,9,
WILKINSON EARLY CHILDHOOD CTR. (6030),2015,2015,9,
WILKINSON EARLY CHILDHOOD CTR. (6030),2016,2016,9,
WILKINSON EARLY CHILDHOOD CTR. (6030),2017,2017,7,
WOERNER ELEM. (5970),2013,2013,15,
WOERNER ELEM. (5970),2014,2014,14,
WOERNER ELEM. (5970),2015,2015,14,
WOERNER ELEM. (5970),2016,2016,14,
WOERNER ELEM. (5970),2017,2017,14,
WOODWARD ELEM. (6120),2013,2013,13,
WOODWARD ELEM. (6120),2014,2014,15,
WOODWARD ELEM. (6120),2015,2015,13,
WOODWARD ELEM. (6120),2016,2016,11,
WOODWARD ELEM. (6120),2017,2017,11,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2013,2013,17,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,2014,16,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,2015,13,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2016,2016,15,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2017,2017,12,
,,,,
SCHOOL_NAME2,YEAR1,Students_Per_Reacher_Ratio2,Students_Per_Classrm_Tch_Ratio2,Students_Per_Admin_Ratio2
School: ACAD OF ENVT SCI/MATH ELEM (4990),2017,11,13,238
School: ACAD OF ENVT SCI/MATH ELEM (4990),2016,13,15,261
School: ACAD OF ENVT SCI/MATH ELEM (4990),2015,15,16,328
School: ACAD OF ENVT SCI/MATH ELEM (4990),2014,16,17,253
School: ACAD OF ENVT SCI/MATH ELEM (4990),2013,17,19,262
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2017,10,14,180
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2016,14,20,108
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2015,15,20,141
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2014,14,15,306
School: ACAD OF ENVT SCI/MATH MIDDLE (3250),2013,19,22,205
School: ADAMS ELEM. (4000),2017,11,16,250
School: ADAMS ELEM. (4000),2016,12,17,271
School: ADAMS ELEM. (4000),2015,11,16,278
School: ADAMS ELEM. (4000),2014,12,17,314
School: ADAMS ELEM. (4000),2013,11,18,279
School: AMES VISUAL/PERF. ARTS (4250),2017,12,16,169
School: AMES VISUAL/PERF. ARTS (4250),2016,13,17,182
School: AMES VISUAL/PERF. ARTS (4250),2015,11,14,173
School: AMES VISUAL/PERF. ARTS (4250),2014,12,15,182
School: AMES VISUAL/PERF. ARTS (4250),2013,13,18,208
School: ASHLAND ELEM. AND BR. (4060),2017,11,17,267
School: ASHLAND ELEM. AND BR. (4060),2016,12,16,292
School: ASHLAND ELEM. AND BR. (4060),2015,12,16,165
School: ASHLAND ELEM. AND BR. (4060),2014,12,17,341
School: ASHLAND ELEM. AND BR. (4060),2013,14,19,336
School: BEAUMONT CTE HIGH SCHOOL (1250),2017,17,26,230
School: BEAUMONT CTE HIGH SCHOOL (1250),2016,11,18,133
School: BEAUMONT CTE HIGH SCHOOL (1250),2015,27,54,442
School: BEAUMONT CTE HIGH SCHOOL (1250),2014,3,6,32
School: BEAUMONT CTE HIGH SCHOOL (1250),2013,7,15,152
School: BRYAN HILL ELEM. (4180),2017,11,15,180
School: BRYAN HILL ELEM. (4180),2016,11,15,193
School: BRYAN HILL ELEM. (4180),2015,10,14,184
School: BRYAN HILL ELEM. (4180),2014,9,13,170
School: BRYAN HILL ELEM. (4180),2013,11,17,187
School: BUDER ELEM. (4200),2017,10,13,160
School: BUDER ELEM. (4200),2016,11,13,171
School: BUDER ELEM. (4200),2015,11,13,163
School: BUDER ELEM. (4200),2014,10,13,158
School: BUDER ELEM. (4200),2013,12,16,349
School: BUSCH MS CHARACTER & ATHLETICS (3050),2017,15,20,357
School: BUSCH MS CHARACTER & ATHLETICS (3050),2016,17,21,346
School: BUSCH MS CHARACTER & ATHLETICS (3050),2015,18,23,349
School: BUSCH MS CHARACTER & ATHLETICS (3050),2014,16,20,330
School: BUSCH MS CHARACTER & ATHLETICS (3050),2013,17,21,388
School: CARDINAL GLENNON HOSPITAL (6280),2016,0,0,0
School: CARDINAL GLENNON HOSPITAL (6280),2015,0,0,0
School: CARDINAL GLENNON HOSPITAL (6280),2014,0,0,0
School: CARDINAL GLENNON HOSPITAL (6280),2013,0,0,0
School: CARNAHAN SCH. OF THE FUTURE (1500),2017,14,21,179
School: CARNAHAN SCH. OF THE FUTURE (1500),2016,15,22,192
School: CARNAHAN SCH. OF THE FUTURE (1500),2015,14,23,207
School: CARNAHAN SCH. OF THE FUTURE (1500),2014,14,27,187
School: CARNAHAN SCH. OF THE FUTURE (1500),2013,14,28,172
School: CARR LANE VPA MIDDLE (3070),2017,14,20,273
School: CARR LANE VPA MIDDLE (3070),2016,16,20,282
School: CARR LANE VPA MIDDLE (3070),2015,15,21,279
School: CARR LANE VPA MIDDLE (3070),2014,15,23,305
School: CARR LANE VPA MIDDLE (3070),2013,15,20,280
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2017,13,17,206
School: CENTRAL VISUAL/PERF. ARTS HIGH (1860),2016,14,18,204
